method,design,n_runs,tokens_mean,asserts_mean,unique_mean,complex_unique_mean,domains_mean,quality_unit_mean,tokens_per_assert,tokens_per_unique,tokens_per_complex,tokens_per_quality,trivial_share,malformed_total
assertllm,coral_fifox,1,39895.0,1.00,1.00,0.00,1.00,0.00,39895.0,39895.0,,,1.0000,0
assertllm,coral_rvv,1,32511.0,17.00,17.00,0.00,1.00,0.00,1912.4,1912.4,,,1.0000,0
assertllm,nvdla_cacc,1,88214.0,12.00,12.00,0.00,1.00,0.00,7351.2,7351.2,,,0.9167,0
assertllm,nvdla_cdma,1,160297.0,7.00,7.00,1.00,2.00,2.00,22899.6,22899.6,160297.0,80148.5,0.7143,0
assertllm,nvdla_cdp,1,101214.0,4.00,4.00,0.00,1.00,0.00,25303.5,25303.5,,,1.0000,0
assertllm,nvdla_cmac,1,28617.0,6.00,6.00,0.00,1.00,0.00,4769.5,4769.5,,,1.0000,0
assertllm,nvdla_cmacfull,1,792272.0,82.00,82.00,1.00,2.00,2.00,9661.9,9661.9,792272.0,396136.0,0.9634,0
assertllm,nvdla_csc,1,1556956.0,97.00,97.00,3.00,2.00,6.00,16051.1,16051.1,518985.3,259492.7,0.9691,0
assertllm,nvdla_pdp,1,127166.0,9.00,9.00,1.00,2.00,2.00,14129.6,14129.6,127166.0,63583.0,0.8889,0
assertllm,nvdla_rubik,1,81448.0,7.00,7.00,0.00,1.00,0.00,11635.4,11635.4,,,1.0000,0
assertllm,nvdla_sdp,1,235332.0,17.00,17.00,2.00,3.00,6.00,13843.1,13843.1,117666.0,39222.0,0.8824,0
full,cacc,14,690455.8,341.36,341.36,180.57,6.21,1134.14,2022.7,2022.7,3823.7,608.8,0.0000,0
full,cdma,13,94738.0,6.62,6.62,3.62,1.85,10.38,14320.9,14320.9,26204.1,9122.9,0.0000,0
full,cdp,13,15475.9,16.38,16.38,8.31,3.00,25.77,944.5,944.5,1862.8,600.6,0.0000,0
full,cmacfull,13,218733.7,8.23,8.23,4.38,2.92,14.54,26575.1,26575.1,49886.6,15045.2,0.0000,0
full,csc,13,445385.6,5.00,5.00,1.69,1.92,4.62,89077.1,89077.1,263182.4,96500.2,0.0000,0
full,pdp,13,42881.2,43.31,43.31,21.77,4.46,100.54,990.2,990.2,1969.8,426.5,0.0000,0
full,rubik,14,100075.5,12.64,12.64,6.00,2.64,17.21,7915.6,7915.6,16679.2,5813.5,0.0000,0
full,sdp,13,127436.5,9.92,9.92,4.00,2.46,11.23,12842.4,12842.4,31859.1,11347.1,0.0078,0
naive,cacc,14,36269.2,5.29,5.29,1.57,1.86,3.14,6861.7,6861.7,23080.4,11540.2,0.0000,0
naive,cdma,14,39882.2,2.29,2.07,0.57,1.14,0.71,17448.5,19253.5,69793.9,55835.1,0.0000,0
naive,cdp,14,38215.1,5.93,4.86,1.43,1.50,4.14,6445.9,7867.8,26750.5,9224.3,0.0000,0
naive,cmac,10,59790.6,1.00,1.00,0.00,1.00,0.00,59790.6,59790.6,,,0.0000,0
naive,cmacfull,14,52822.5,5.50,5.50,3.64,1.64,6.50,9604.1,9604.1,14500.3,8126.5,0.0000,0
naive,csc,14,37832.6,1.14,1.14,0.29,1.07,0.43,33103.6,33103.6,132414.2,88276.2,0.0000,0
naive,fifox,14,88417.4,31.14,31.14,8.64,1.79,17.29,2839.1,2839.1,10230.1,5115.1,0.0115,0
naive,pdp,4,40155.2,10.75,10.75,6.25,1.00,6.25,3735.4,3735.4,6424.8,6424.8,0.0000,0
naive,rubik,14,35423.6,9.29,9.29,1.00,2.07,1.86,3814.8,3814.8,35423.6,19074.2,0.0000,0
naive,rvv,11,37374.6,10.45,10.45,4.45,2.27,9.73,3575.0,3575.0,8390.2,3842.3,0.0000,0
naive,sdp,14,38234.2,5.00,4.93,0.64,1.50,1.71,7646.8,7757.7,59475.4,22303.3,0.0000,0
no-facts,cacc,14,704937.4,398.36,398.29,200.71,7.07,1413.86,1769.6,1769.9,3512.1,498.6,0.0002,41
no-facts,cdma,13,102777.5,10.23,10.23,6.69,2.23,15.77,10045.9,10045.9,15357.6,6517.6,0.0000,0
no-facts,cdp,13,13886.2,14.54,14.54,7.15,3.00,22.85,955.1,955.1,1941.1,607.8,0.0053,0
no-facts,cmacfull,13,225281.5,5.85,5.85,3.77,2.46,9.31,38535.0,38535.0,59768.6,24203.8,0.0000,0
no-facts,csc,12,453053.1,5.75,5.75,1.67,1.83,4.00,78791.8,78791.8,271831.8,113263.3,0.0000,0
no-facts,pdp,13,36207.8,34.62,34.62,17.31,4.31,76.00,1046.0,1046.0,2092.0,476.4,0.0000,0
no-facts,rubik,14,73484.2,8.57,8.57,6.07,2.43,16.14,8573.2,8573.2,12103.3,4552.1,0.0083,0
no-facts,sdp,13,61910.2,10.08,10.08,8.23,3.31,27.92,6143.8,6143.8,7521.8,2217.2,0.0000,0
