method,design,n_runs,tokens_mean,asserts_mean,t1_mean,t1_simple_mean,t1_complex_mean,complex_share,docs_total_mean,docs_covered_mean,coverage_pct,lint_pass_rate,resolve_rate,cost_per_T1,cost_useful,events_total_mean,events_hit_mean,fc_pct,reset_pct,doc_pct,case_pct,cost_per_cov
assertain,cdma,1,28884.0,12.00,0.00,0.00,0.00,0.0000,5.00,0.00,0.00,0.9167,0.0000,,,989.00,0.00,0.00,0.00,0.00,0.00,
assertain,cdp,1,26917.0,12.00,0.00,0.00,0.00,0.0000,5.00,0.00,0.00,0.9167,0.0000,,,897.00,0.00,0.00,0.00,0.00,0.00,
assertain,cmac,1,30426.0,13.00,0.00,0.00,0.00,0.0000,20.00,0.00,0.00,0.9231,0.0000,,,69.00,0.00,0.00,0.00,0.00,0.00,
assertain,cmacfull,1,30943.0,11.00,0.00,0.00,0.00,0.0000,13.00,0.00,0.00,0.9091,0.0000,,,164.00,0.00,0.00,0.00,0.00,0.00,
assertain,csc,1,30563.0,13.00,0.00,0.00,0.00,0.0000,7.00,0.00,0.00,0.9231,0.0000,,,464.00,0.00,0.00,0.00,0.00,0.00,
assertain,fifox,1,33679.0,5.00,0.00,0.00,0.00,0.0000,21.00,0.00,0.00,0.8000,0.0000,,,21.00,0.00,0.00,0.00,0.00,0.00,
assertain,i2c,1,118800.0,39.00,0.00,0.00,0.00,0.0000,2.00,0.00,0.00,0.9744,0.0000,,,2.00,0.00,0.00,0.00,0.00,0.00,
assertain,pdp,1,26724.0,13.00,0.00,0.00,0.00,0.0000,8.00,0.00,0.00,0.9231,0.0000,,,440.00,0.00,0.00,0.00,0.00,0.00,
assertain,rubik,1,27752.0,13.00,0.00,0.00,0.00,0.0000,4.00,0.00,0.00,0.9231,0.0000,,,182.00,0.00,0.00,0.00,0.00,0.00,
assertain,sdp,1,29679.0,7.00,0.00,0.00,0.00,0.0000,6.00,0.00,0.00,0.8571,0.0000,,,791.00,0.00,0.00,0.00,0.00,0.00,
assertllm,cacc,1,83841.0,7.00,1.00,0.00,1.00,1.0000,14.00,0.00,0.00,1.0000,1.0000,83841.00,41920.50,257.00,0.00,0.00,0.00,0.00,0.00,
assertllm,cdp,1,100514.0,4.00,0.00,0.00,0.00,0.0000,5.00,0.00,0.00,1.0000,1.0000,,,897.00,0.00,0.00,0.00,0.00,0.00,
assertllm,cmac,1,30098.0,8.00,0.00,0.00,0.00,0.0000,20.00,0.00,0.00,1.0000,1.0000,,,69.00,0.00,0.00,0.00,0.00,0.00,
assertllm,fifox,1,40429.0,2.00,0.00,0.00,0.00,0.0000,21.00,0.00,0.00,1.0000,1.0000,,,21.00,0.00,0.00,0.00,0.00,0.00,
assertllm,i2c,1,51065.0,2.00,0.00,0.00,0.00,0.0000,2.00,0.00,0.00,1.0000,1.0000,,,2.00,0.00,0.00,0.00,0.00,0.00,
assertllm,pdp,1,128105.0,7.00,0.00,0.00,0.00,0.0000,8.00,0.00,0.00,1.0000,1.0000,,,440.00,0.00,0.00,0.00,0.00,0.00,
assertllm,rubik,1,80616.0,7.00,0.00,0.00,0.00,0.0000,4.00,0.00,0.00,1.0000,1.0000,,,182.00,0.00,0.00,0.00,0.00,0.00,
assertllm,rvv,1,32832.0,15.00,0.00,0.00,0.00,0.0000,18.00,0.00,0.00,1.0000,1.0000,,,20.00,0.00,0.00,0.00,0.00,0.00,
chiraag,cacc,1,22070.0,0.00,0.00,0.00,0.00,0.0000,0.00,0.00,0.00,0.0000,0.0000,,,0.00,0.00,0.00,0.00,0.00,0.00,
chiraag,cdma,1,7040.0,12.00,0.00,0.00,0.00,0.0000,5.00,0.00,0.00,0.8333,0.0000,,,989.00,0.00,0.00,0.00,0.00,0.00,
